# energy	norm
13000	1.94E-03
13001.04	3.60E-03
13002.04	3.28E-03
13003.03	3.97E-03
13004.03	3.35E-03
13005.02	4.51E-03
13006.04	6.33E-03
13007.05	6.70E-03
13008.04	6.39E-03
13009.02	9.78E-03
13010.05	6.82E-03
13011.05	8.97E-03
13012.03	1.06E-02
13013.02	1.12E-02
13014.04	1.24E-02
13015.02	1.50E-02
13016	1.58E-02
13017.03	1.65E-02
13018.04	1.92E-02
13019.02	2.27E-02
13020	2.19E-02
13021.02	2.56E-02
13022.03	2.74E-02
13023.01	3.33E-02
13023.99	3.58E-02
13025.03	3.74E-02
13026.04	4.28E-02
13027.04	4.99E-02
13028	5.29E-02
13029.02	6.18E-02
13030.04	6.98E-02
13031.02	8.28E-02
13031.98	9.21E-02
13033	0.10663446
13034.03	0.12982853
13035.03	0.15555748
13036	0.17955862
13037.02	0.21566997
13038.03	0.2558585
13039.05	0.30700297
13040.02	0.36154762
13041.02	0.44178544
13042.04	0.53347705
13043.02	0.6272369
13044.02	0.72911365
13045	0.80440985
13046.02	0.8767723
13047.03	0.92788531
13048.01	0.96435781
13049	0.98886771
13050	1.0168299
13051.02	1.0265724
13052.02	1.0245325
13053	1.0456801
13054.02	1.0452605
13055.03	1.0478555
13056.01	1.0345747
13057	1.0436964
13058.02	1.0240644
13059.04	1.0037713
13060.03	1.0003252
13061	0.99205493
13062	0.99117816
13063.04	0.97596202
13064.03	0.97253805
13065.01	0.96655439
13066.03	0.95597955
13067.04	0.96338325
13068.04	0.96113539
13069.05	0.97643655
13070.02	0.97026243
13071.06	0.97046008
13072.03	0.96968197
13073.02	0.9714219
13074.04	0.96820364
13075.03	0.97349638
13076.02	0.97519692
13076.99	0.97925057
13078.02	0.97925144
13079.02	0.98310148
13080	0.99070247
13081	1.0031667
13082.03	1.002624
13083.02	1.0023183
13084.01	1.0015415
13085.01	1.0062917
13086.04	1.0144158
13087.01	1.0198176
13088	1.0210415
13089.01	1.0187083
13090.04	1.0253442
13091.03	1.0192585
13092	1.0255309
13093.01	1.0210124
13094.04	1.016181
13095.01	1.0286176
13096.02	1.0278804
13097	1.0175595
13098.04	1.018807
13099.03	1.0143845
13100.01	1.0120039
13101	1.0228491
13102	1.0156688
13103	1.0184217
13104	1.0158363
13105.04	1.0119554
13106.04	1.0144783
13107.03	1.0135991
13108.01	1.0112343
13109	1.0086465
13110.01	0.99810081
13111.03	1.0053709
13112.02	1.0035144
13113.03	0.99686815
13114.04	1.0080548
13115	1.0023433
13116	1.0018731
13117.01	0.99220091
13118.02	0.98907879
13119.04	0.99929866
13120.03	1.0034556
13121.03	0.99975689
13122.03	0.99379079
13123.04	0.9984351
13124.02	1.0008918
13125.05	1.0052247
13126.05	0.99505246
13127.03	0.99282899
13128.02	1.0014339
13129.04	0.99334103
13130.03	0.99061314
13131.01	0.9945194
13132.01	1.0039656
13133.04	0.98635384
13134.04	0.99766103
13135.02	0.9899058
13136.02	0.98853058
13137.04	0.99972525
13138.02	0.99307972
13139	0.98813326
13140.03	0.99629131
13141.05	0.99427846
13142.03	1.0012333
13143.01	0.99045384
13144.03	0.9913574
13145	1.0116331
13146	1.0125397
13147.01	1.0097749
13148.03	1.0085198
13149.01	0.99816508
13150.01	1.0009381
13151.03	1.012861
13152.01	0.99805923
13153	0.99239015
13154.02	0.99522694
13155.04	0.98800907
13156.05	0.99501928
13157.02	1.0081628
13158.06	1.0153376
13159.04	1.0046693
13160.04	1.0064885
13161.05	0.99576254
13162.03	1.0058781
13163.05	1.0101797
13164.04	1.0045229
13165	1.0016597
13166.02	0.9986969
13167.03	0.99785125
13168	1.0102078
13169.02	1.0053782
13170.04	1.0083905
13171.01	1.003959
13172.03	0.99804984
13173.05	1.0058816
13174.04	1.0083966
13175.02	1.0052285
13176.04	1.0101362
13177.03	1.0097791
13178	1.0118245
13179.01	1.001828
13180.05	1.0064989
13181.05	1.0331782
13182	1.0196642
13183.03	1.0152633
13184.03	1.002313
13185.04	0.99790536
13186.03	0.99526216
13187.03	0.99173814
13188.04	1.003158
13189.01	1.0014558
13190.04	0.98805723
13191.03	0.99123894
13192.01	1.0082683
13193	0.9963067
13194.03	1.0076636
13195.05	0.99929095
13196.06	0.99719827
13197.02	0.99047014
13198.04	1.0040735
13199.03	1.0052371
13200.01	1.0042818
13201	0.99835198
13202.04	0.99931828
13203.01	0.99953754
13204.02	0.99797849
13205.03	0.99246554
13206.04	0.98741518
13207.02	1.0009787
13208.01	1.0032719
13209.05	1.0000835
13210.06	0.99638872
13211	0.99787646
13212.03	1.0144341
13213.04	1.0043678
13214	0.99612458
13215.01	0.99137443
13216.05	0.99950765
13217.05	0.99844767
13218.04	1.0039637
13219.03	1.0014354
13220.06	1.0087176
13221.04	1.0072026
13222.02	1.0047268
13223.03	1.0066215
13224.04	0.99844889
13225	0.99963881
13226.01	1.0011573
13227.04	0.99803829
